start,end,Parcela,Species,ID,Individuo,DD,MM,YY,LB,NL,ML,GL,AL,FB,OF,FR,MF
38:16.7,09:00.3,3,Handroanthus crysanthus,H11,11,11,5,2024,0,0,4,0,2,0,0,0,0
25:24.8,41:53.6,3,Handroanthus crysanthus,H07,7,11,5,2024,0,0,4,0,2,0,0,0,0
22:04.9,41:18.7,3,Handroanthus crysanthus,H14,14,11,5,2024,0,0,3,0,1,0,0,0,0
16:07.0,17:08.7,3,Handroanthus crysanthus,H11,11,25,6,2024,0,0,2,0,3,3,0,0,0
14:15.0,15:19.8,3,Handroanthus crysanthus,H10,10,25,6,2024,0,0,2,0,1,2,0,0,0
11:13.2,12:18.0,3,Handroanthus crysanthus,H06,6,25,6,2024,0,0,4,0,1,3,0,0,0
08:55.5,10:36.5,3,Handroanthus crysanthus,H04,4,25,6,2024,0,0,2,0,1,3,0,0,0
07:45.4,08:40.9,3,Handroanthus crysanthus,H13,13,24,6,2024,0,0,1,0,0,2,0,0,0
05:56.3,06:52.5,3,Handroanthus crysanthus,H12,12,24,6,2024,0,0,3,0,1,2,0,0,0
04:37.7,05:46.6,3,Handroanthus crysanthus,H05,5,24,6,2024,0,0,3,0,2,3,0,0,0
03:00.1,03:51.8,3,Handroanthus crysanthus,H01,1,24,6,2024,0,0,3,0,2,2,0,0,0
00:16.9,01:26.5,3,Handroanthus crysanthus,H02,2,24,6,2024,0,0,3,0,2,3,0,0,0
52:39.6,53:31.7,3,Handroanthus crysanthus,H14,14,22,6,2024,0,0,2,0,3,3,0,0,0
51:37.5,52:28.5,3,Handroanthus crysanthus,H07,7,22,6,2024,0,0,2,0,3,0,0,0,0
48:11.4,49:26.2,3,Handroanthus crysanthus,H10,10,12,6,2024,0,0,2,0,3,2,0,0,0
35:18.9,36:19.6,3,Handroanthus crysanthus,H06,6,8,6,2024,0,0,4,0,1,2,0,0,0
33:42.4,35:03.9,3,Handroanthus crysanthus,H04,4,8,6,2024,0,0,3,0,2,3,0,0,0
31:39.3,32:32.3,3,Handroanthus crysanthus,H11,11,8,6,2024,0,0,4,0,3,3,0,0,0
25:57.7,27:03.9,3,Handroanthus crysanthus,H13,13,6,6,2024,0,0,1,0,0,2,0,0,0
24:18.9,25:12.4,3,Handroanthus crysanthus,H12,12,6,6,2024,0,0,3,0,1,2,0,0,0
22:52.5,24:01.2,3,Handroanthus crysanthus,H05,5,6,6,2024,0,0,3,0,1,2,0,0,0
11:09.8,12:10.0,3,Handroanthus crysanthus,H02,2,6,6,2024,0,0,4,0,2,3,0,0,0
10:00.7,11:00.1,3,Handroanthus crysanthus,H01,1,6,6,2024,0,0,3,0,2,2,0,0,0
06:47.7,08:29.4,3,Handroanthus crysanthus,H14,14,6,6,2024,0,0,2,0,1,3,0,0,0
36:15.9,37:20.9,3,Handroanthus crysanthus,H14,14,10,8,2024,0,0,1,0,0,3,0,0,0
33:40.2,36:02.9,3,Handroanthus crysanthus,H07,7,10,8,2024,2,1,0,0,0,3,0,0,0
28:01.4,29:00.0,3,Handroanthus crysanthus,H11,11,8,8,2024,0,0,0,0,0,5,1,0,0
26:22.9,27:51.1,3,Handroanthus crysanthus,H10,10,8,8,2024,0,0,1,0,1,3,0,0,0
23:42.2,24:59.6,3,Handroanthus crysanthus,H06,6,8,8,2024,0,0,0,0,0,4,0,0,0
22:40.9,23:26.6,3,Handroanthus crysanthus,H04,4,7,8,2024,0,0,0,0,0,4,0,0,0
21:07.2,22:20.6,3,Handroanthus crysanthus,H13,13,7,8,2024,2,2,1,0,0,2,0,0,0
19:55.3,20:53.4,3,Handroanthus crysanthus,H12,12,7,8,2024,0,0,0,0,0,3,0,0,0
18:09.8,19:40.3,3,Handroanthus crysanthus,H02,2,7,8,2024,0,0,1,0,1,4,0,0,0
17:06.4,17:56.9,3,Handroanthus crysanthus,H05,5,7,8,2024,0,0,0,0,0,4,0,0,0
15:51.9,16:50.8,3,Handroanthus crysanthus,H01,1,7,8,2024,3,2,0,0,0,3,0,0,0
10:37.1,11:35.5,3,Handroanthus crysanthus,H10,10,25,7,2024,0,0,1,0,1,2,0,0,0
08:15.0,09:17.2,3,Handroanthus crysanthus,H06,6,25,7,2024,0,0,1,0,2,3,0,0,0
07:04.0,07:58.7,3,Handroanthus crysanthus,H02,2,25,7,2024,0,0,2,0,2,4,1,0,0
05:57.3,06:47.3,3,Handroanthus crysanthus,H11,11,25,7,2024,0,0,1,0,1,5,1,0,0
02:04.8,02:51.6,3,Handroanthus crysanthus,H13,13,22,7,2024,0,0,1,0,0,2,1,0,0
00:56.1,01:48.9,3,Handroanthus crysanthus,H12,12,22,7,2024,0,0,1,0,0,3,2,0,0
59:53.6,00:42.9,3,Handroanthus crysanthus,H04,4,22,7,2024,0,0,1,0,0,4,1,0,0
58:29.3,59:32.4,3,Handroanthus crysanthus,H05,5,22,7,2024,0,0,1,0,0,4,3,0,0
56:46.4,58:26.8,3,Handroanthus crysanthus,H01,1,22,7,2024,0,0,0,0,0,4,3,0,0
54:08.8,55:07.2,3,Handroanthus crysanthus,H07,7,22,7,2024,0,0,0,0,0,3,2,0,0
53:01.3,53:52.6,3,Handroanthus crysanthus,H14,14,22,7,2024,0,0,1,0,0,3,0,0,0
19:58.3,20:52.0,3,Handroanthus crysanthus,H14,14,6,7,2024,0,0,2,0,1,4,0,0,0
18:44.3,19:33.8,3,Handroanthus crysanthus,H07,7,6,7,2024,0,0,2,0,2,2,0,0,0
04:05.6,04:57.8,3,Handroanthus crysanthus,H11,11,4,7,2024,0,0,1,0,0,4,0,0,0
02:25.4,03:19.6,3,Handroanthus crysanthus,H02,2,4,7,2024,0,0,3,1,0,3,0,0,0
00:49.2,01:53.4,3,Handroanthus crysanthus,H13,13,4,7,2024,0,0,1,0,0,2,0,0,0
43:27.8,44:53.1,3,Handroanthus crysanthus,H12,12,4,7,2024,0,0,2,0,1,3,0,0,0
14:40.7,15:59.0,3,Handroanthus crysanthus,H10,10,3,7,2024,0,0,2,0,2,2,0,0,0
07:24.8,09:02.7,3,Handroanthus crysanthus,H06,6,3,7,2024,0,0,3,0,1,3,0,0,0
04:22.8,07:11.2,3,Handroanthus crysanthus,H04,4,3,7,2024,0,0,2,0,2,4,0,0,0
01:14.2,02:14.2,3,Handroanthus crysanthus,H05,5,3,7,2024,0,0,2,0,1,4,0,0,0
59:36.3,00:32.8,3,Handroanthus crysanthus,H01,1,3,7,2024,0,0,1,0,0,4,0,0,0
44:13.7,45:06.7,3,Handroanthus crysanthus,H07,7,28,10,2024,3,3,2,3,0,0,0,0,0
42:57.0,43:52.2,3,Handroanthus crysanthus,H10,10,28,10,2024,4,4,2,3,0,0,0,0,0
41:09.2,42:45.5,3,Handroanthus crysanthus,H04,4,28,10,2024,3,3,2,4,0,0,0,0,0
16:22.0,17:58.1,3,Handroanthus crysanthus,H05,5,28,10,2024,4,4,2,2,0,0,0,0,0
14:34.5,15:57.9,3,Handroanthus crysanthus,H14,14,25,10,2024,4,4,1,3,0,1,1,0,0
12:45.8,14:31.2,3,Handroanthus crysanthus,H13,13,25,10,2024,2,2,2,3,0,0,0,0,0
11:09.1,12:32.3,3,Handroanthus crysanthus,H12,12,25,10,2024,4,4,4,3,0,0,0,0,0
09:30.8,10:31.2,3,Handroanthus crysanthus,H01,1,25,10,2024,4,4,5,3,0,0,0,0,0
08:09.1,09:04.2,3,Handroanthus crysanthus,H02,2,25,10,2024,4,4,1,2,0,0,1,1,0
06:46.5,07:57.3,3,Handroanthus crysanthus,H11,11,25,10,2024,3,4,3,3,0,0,0,0,0
04:02.8,04:54.4,3,Handroanthus crysanthus,H06,6,24,10,2024,3,3,3,3,0,0,0,0,0
51:13.9,52:02.4,3,Handroanthus crysanthus,H14,14,11,10,2024,3,3,1,1,0,0,0,0,0
50:04.8,50:51.5,3,Handroanthus crysanthus,H07,7,11,10,2024,3,3,1,1,0,0,0,0,0
47:12.1,48:19.8,3,Handroanthus crysanthus,H10,10,10,10,2024,3,3,1,2,0,2,0,0,0
41:10.0,43:34.4,3,Handroanthus crysanthus,H06,6,10,10,2024,3,4,2,3,0,0,1,0,0
39:32.0,40:20.8,3,Handroanthus crysanthus,H04,4,10,10,2024,3,3,1,3,0,0,1,0,0
38:15.3,39:15.1,3,Handroanthus crysanthus,H05,5,10,10,2024,4,3,1,1,0,0,0,0,0
35:45.4,37:12.4,3,Handroanthus crysanthus,H11,11,8,10,2024,4,4,1,3,0,2,1,0,0
34:05.5,34:54.4,3,Handroanthus crysanthus,H13,13,8,10,2024,3,2,2,2,0,0,0,0,0
32:49.6,33:39.5,3,Handroanthus crysanthus,H12,12,8,10,2024,4,3,4,3,0,0,0,0,0
31:09.9,32:42.2,3,Handroanthus crysanthus,H02,2,8,10,2024,4,3,1,1,0,2,2,2,0
29:40.9,30:50.4,3,Handroanthus crysanthus,H01,1,8,10,2024,4,3,5,2,0,1,0,2,0
21:17.4,22:12.8,3,Handroanthus crysanthus,H06,6,26,9,2024,4,4,1,3,0,3,2,0,0
19:42.4,21:04.7,3,Handroanthus crysanthus,H10,10,26,9,2024,3,3,1,1,0,2,0,0,0
18:33.0,19:21.6,3,Handroanthus crysanthus,H14,14,26,9,2024,3,2,1,1,0,3,1,0,0
16:48.0,18:02.7,3,Handroanthus crysanthus,H07,7,26,9,2024,3,3,1,1,0,2,0,0,0
17:11.7,18:09.1,3,Handroanthus crysanthus,H11,11,20,9,2024,3,3,1,1,0,3,3,0,0
15:46.9,17:02.6,3,Handroanthus crysanthus,H04,4,20,9,2024,3,3,0,1,0,3,2,1,0
49:44.1,50:37.0,3,Handroanthus crysanthus,H13,13,20,9,2024,3,0,0,1,0,3,0,0,0
47:58.0,48:52.5,3,Handroanthus crysanthus,H12,12,20,9,2024,4,3,0,2,0,3,1,0,0
21:19.5,22:16.1,3,Handroanthus crysanthus,H12,12,20,9,2024,4,3,0,2,0,3,1,0,0
19:36.1,21:06.0,3,Handroanthus crysanthus,H05,5,20,9,2024,5,3,0,1,0,4,2,1,0
56:31.3,01:47.3,3,Handroanthus crysanthus,H01,1,19,9,2024,3,3,1,5,0,3,3,3,0
55:21.0,56:15.6,3,Handroanthus crysanthus,H02,2,19,9,2024,4,3,0,1,0,4,2,2,0
2024-10-14 19:50,51:18.2,3,Handroanthus crysanthus,H06,6,12,9,2024,5,4,1,2,0,4,4,0,0
16:58.4,17:58.2,3,Handroanthus crysanthus,H10,10,12,9,2024,3,3,1,1,0,4,0,0,0
10:52.8,12:09.1,3,Handroanthus crysanthus,H14,14,10,9,2024,2,2,1,1,1,2,3,0,0
25:10.4,26:01.1,3,Handroanthus crysanthus,H07,7,10,9,2024,4,3,1,1,0,2,1,0,0
22:12.4,23:05.0,3,Handroanthus crysanthus,H05,5,10,9,2024,3,2,0,1,0,5,3,0,0
20:19.2,21:58.6,3,Handroanthus crysanthus,H12,12,10,9,2024,4,3,0,3,0,3,3,0,0
18:38.3,20:02.0,3,Handroanthus crysanthus,H13,13,10,9,2024,2,2,1,1,0,2,2,0,0
17:03.7,18:27.0,3,Handroanthus crysanthus,H04,4,10,9,2024,5,4,0,1,0,3,3,0,0
08:28.1,09:29.1,3,Handroanthus crysanthus,H01,1,5,9,2024,5,4,1,3,0,4,4,3,0
04:53.0,06:06.8,3,Handroanthus crysanthus,H11,11,3,9,2024,4,2,0,0,0,5,4,0,0
01:58.0,04:30.4,3,Handroanthus crysanthus,H02,2,3,9,2024,1,0,0,0,0,4,3,0,0
13:44.7,14:32.1,3,Handroanthus crysanthus,H01,1,19,11,2024,4,4,5,2,0,0,0,0,0
14:47.8,17:28.6,3,Handroanthus crysanthus,H12,12,19,11,2024,3,3,4,2,0,1,1,0,0
18:11.0,19:32.6,3,Handroanthus crysanthus,H13,13,19,11,2024,1,2,2,2,0,0,0,0,0
20:13.9,21:48.0,3,Handroanthus crysanthus,H05,5,19,11,2024,3,4,4,2,0,0,0,0,0
22:00.6,23:02.5,3,Handroanthus crysanthus,H04,4,19,11,2024,3,3,3,4,0,0,0,0,0
23:54.5,24:44.0,3,Handroanthus crysanthus,H06,6,19,11,2024,2,3,4,3,0,0,0,0,0
29:53.1,32:49.8,3,Handroanthus crysanthus,H02,2,21,11,2024,4,4,3,2,0,1,1,0,0
32:59.4,33:39.6,3,Handroanthus crysanthus,H11,11,21,11,2024,3,4,4,3,0,0,0,0,0
33:49.0,35:23.1,3,Handroanthus crysanthus,H10,10,21,11,2024,3,4,4,3,0,0,0,0,0
02:50.2,04:49.9,3,Handroanthus crysanthus,H14,14,14,11,2024,0,3,3,2,0,1,1,0,0
05:31.9,07:08.8,3,Handroanthus crysanthus,H07,7,14,11,2024,2,3,3,3,0,0,0,0,0
